#read_id	perc_id	species	kingdom
660c5123-dc88-4122-a1ad-f49aba45e447	100.000	Apteryx australis mantelli	Eukaryota
663a924b-47a3-4a57-96ca-aeb0165ec32f	77.863	Blattella germanica	Eukaryota
670945fc-56a0-4bab-8924-b89052c32c13	87.059	Panesthia cribrata	Eukaryota
672cff05-0c56-4299-a278-08f6a20c7356	84.000	Panesthia cribrata	Eukaryota
6774bc5a-c980-4a7b-a2de-8d5212101e3e	97.222	Buchnera aphidicola (Cinara splendens)	Bacteria
68884448-8ad9-49ae-ae0d-22d03edb534e	87.619	Ooceraea biroi	Eukaryota
69c90b89-bc6f-4e51-938e-aab58b4d0f92	71.520	Mycobacterium sp. PYR15	Bacteria
6a05846c-f565-41c6-808c-2159aa68e0e7	85.679	Centruroides sculpturatus	Eukaryota
6a199811-e090-4f67-8ed7-b8fe8b5e13e2	86.792	Megachile rotundata	Eukaryota
6b0e2101-dde5-4b5d-915d-2b4276282ff6	84.259	Panesthia angustipennis	Eukaryota
